Detalle_ID|Factura|Categoria|Subcategoria|Producto_ID|Producto|Unidades|Precio_Unitario
84103|SO63416|Accessories|Tires and Tubes|229|ML Road Tire|1|24.99
84005|SO63375|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84069|SO63403|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84209|SO63460|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84220|SO63464|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84275|SO63482|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
83981|SO63364|Accessories|Fenders|175|Fender Set - Mountain|1|21.98
84068|SO63403|Accessories|Fenders|175|Fender Set - Mountain|1|21.98
84072|SO63404|Accessories|Fenders|175|Fender Set - Mountain|1|21.98
83982|SO63364|Accessories|Cleaners|174|Bike Wash - Dissolver|1|7.95
84024|SO63383|Accessories|Cleaners|174|Bike Wash - Dissolver|1|7.95
84070|SO63403|Accessories|Cleaners|174|Bike Wash - Dissolver|1|7.95
84210|SO63460|Accessories|Cleaners|174|Bike Wash - Dissolver|1|7.95
84052|SO63396|Accessories|Helmets|4|Sport-100 Helmet, Red|1|34.99
84168|SO63440|Accessories|Helmets|4|Sport-100 Helmet, Red|1|34.99
84270|SO63480|Accessories|Helmets|4|Sport-100 Helmet, Red|1|34.99
83983|SO63365|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84033|SO63388|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84179|SO63445|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84203|SO63458|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84236|SO63469|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84142|SO63430|Accessories|Helmets|5|Sport-100 Helmet, Black|1|34.99
84146|SO63432|Accessories|Helmets|5|Sport-100 Helmet, Black|1|34.99
84238|SO63469|Accessories|Helmets|5|Sport-100 Helmet, Black|1|34.99
83984|SO63366|Clothing|Jerseys|178|Short-Sleeve Classic Jersey, S|1|53.99
83985|SO63366|Clothing|Caps|9|AWC Logo Cap|1|8.99
84048|SO63395|Clothing|Caps|9|AWC Logo Cap|1|8.99
84056|SO63398|Clothing|Caps|9|AWC Logo Cap|1|8.99
84080|SO63407|Clothing|Caps|9|AWC Logo Cap|1|8.99
84084|SO63408|Clothing|Caps|9|AWC Logo Cap|1|8.99
84187|SO63449|Clothing|Caps|9|AWC Logo Cap|1|8.99
84251|SO63473|Clothing|Caps|9|AWC Logo Cap|1|8.99
84139|SO63428|Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99
84171|SO63441|Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99
84180|SO63445|Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99
