Detalle_ID|Factura|Categoria|Subcategoria|Producto_ID|Producto|Unidades|Precio_Unitario
84266|SO63479|Accessories|Tires and Tubes|229|ML Road Tire|1|24.99
83996|SO63371|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84029|SO63386|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84032|SO63387|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84244|SO63471|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
83987|SO63367|Accessories|Helmets|4|Sport-100 Helmet, Red|1|34.99
84199|SO63456|Accessories|Helmets|4|Sport-100 Helmet, Red|1|34.99
84026|SO63385|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84028|SO63386|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84031|SO63387|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84150|SO63434|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84198|SO63456|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84228|SO63467|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84105|SO63417|Accessories|Helmets|5|Sport-100 Helmet, Black|1|34.99
84110|SO63418|Accessories|Helmets|5|Sport-100 Helmet, Black|1|34.99
84143|SO63431|Accessories|Helmets|5|Sport-100 Helmet, Black|1|34.99
84214|SO63462|Accessories|Helmets|5|Sport-100 Helmet, Black|1|34.99
84059|SO63400|Clothing|Caps|9|AWC Logo Cap|1|8.99
84106|SO63417|Clothing|Caps|9|AWC Logo Cap|1|8.99
84215|SO63462|Clothing|Caps|9|AWC Logo Cap|1|8.99
83986|SO63367|Bikes|Road Bikes|93|Road-250 Black, 58|1|2443.35
84152|SO63434|Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99
84234|SO63468|Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99
84260|SO63477|Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99
84263|SO63478|Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99
84268|SO63479|Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99
84145|SO63431|Clothing|Jerseys|10|Long-Sleeve Logo Jersey, S|1|49.99
84261|SO63477|Clothing|Jerseys|12|Long-Sleeve Logo Jersey, L|1|49.99
84027|SO63385|Accessories|Hydration Packs|177|Hydration Pack - 70 oz.|1|54.99
83995|SO63371|Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2294.99
84135|SO63427|Accessories|Tires and Tubes|227|HL Mountain Tire|1|35
84197|SO63456|Accessories|Tires and Tubes|227|HL Mountain Tire|1|35
84229|SO63467|Accessories|Tires and Tubes|227|HL Mountain Tire|1|35
84006|SO63376|Accessories|Bottles and Cages|168|Mountain Bottle Cage|1|9.99
84231|SO63467|Accessories|Bottles and Cages|168|Mountain Bottle Cage|1|9.99
84007|SO63376|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84025|SO63384|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84108|SO63418|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84126|SO63424|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84230|SO63467|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84233|SO63468|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84184|SO63448|Clothing|Shorts|166|Women's Mountain Shorts, L|1|69.99
84264|SO63478|Clothing|Jerseys|181|Short-Sleeve Classic Jersey, XL|1|53.99
84153|SO63434|Clothing|Gloves|155|Half-Finger Gloves, S|1|24.49
84030|SO63386|Accessories|Bike Stands|176|All-Purpose Bike Stand|1|159
84113|SO63419|Accessories|Tires and Tubes|219|Road Tire Tube|1|3.99
84172|SO63442|Accessories|Tires and Tubes|219|Road Tire Tube|1|3.99
84213|SO63462|Accessories|Tires and Tubes|219|Road Tire Tube|1|3.99
84267|SO63479|Accessories|Tires and Tubes|219|Road Tire Tube|1|3.99
84112|SO63419|Accessories|Tires and Tubes|228|LL Road Tire|1|21.49
84212|SO63462|Accessories|Tires and Tubes|228|LL Road Tire|1|21.49
84151|SO63434|Accessories|Tires and Tubes|226|ML Mountain Tire|1|29.99
84134|SO63427|Bikes|Mountain Bikes|78|Mountain-200 Silver, 46|1|2319.99
84243|SO63471|Bikes|Mountain Bikes|78|Mountain-200 Silver, 46|1|2319.99
84265|SO63479|Bikes|Road Bikes|94|Road-550-W Yellow, 38|1|1120.49
84074|SO63405|Bikes|Touring Bikes|263|Touring-1000 Blue, 46|1|2384.07
84104|SO63417|Bikes|Road Bikes|96|Road-550-W Yellow, 42|1|1120.49
84109|SO63418|Accessories|Bottles and Cages|169|Road Bottle Cage|1|8.99
84125|SO63424|Accessories|Bottles and Cages|169|Road Bottle Cage|1|8.99
84232|SO63468|Accessories|Bottles and Cages|169|Road Bottle Cage|1|8.99
84111|SO63419|Bikes|Road Bikes|295|Road-750 Black, 48|1|539.99
84259|SO63477|Bikes|Road Bikes|295|Road-750 Black, 48|1|539.99
84262|SO63478|Bikes|Road Bikes|295|Road-750 Black, 48|1|539.99
84099|SO63414|Bikes|Road Bikes|274|Road-750 Black, 58|1|539.99
84100|SO63414|Clothing|Vests|161|Classic Vest, S|1|63.5
84107|SO63418|Bikes|Road Bikes|296|Road-750 Black, 52|1|539.99
84114|SO63420|Bikes|Road Bikes|296|Road-750 Black, 52|1|539.99
84119|SO63422|Bikes|Touring Bikes|254|Touring-1000 Yellow, 60|1|2384.07
84124|SO63424|Bikes|Touring Bikes|258|Touring-3000 Yellow, 44|1|742.35
84144|SO63431|Clothing|Gloves|156|Half-Finger Gloves, M|1|24.49
84189|SO63450|Clothing|Gloves|157|Half-Finger Gloves, L|1|24.49
84188|SO63450|Clothing|Shorts|165|Women's Mountain Shorts, M|1|69.99
84173|SO63442|Accessories|Tires and Tubes|230|HL Road Tire|1|32.6
84279|SO63484|Bikes|Mountain Bikes|78|Mountain-200 Silver, 46|1|2319.99
84280|SO63484|Accessories|Fenders|175|Fender Set - Mountain|1|21.98
84281|SO63484|Accessories|Bottles and Cages|168|Mountain Bottle Cage|1|9.99
84282|SO63484|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84283|SO63484|Accessories|Helmets|5|Sport-100 Helmet, Black|1|34.99
84288|SO63487|Bikes|Touring Bikes|253|Touring-1000 Yellow, 54|1|2384.07
84289|SO63487|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84290|SO63487|Accessories|Bottles and Cages|169|Road Bottle Cage|1|8.99
84302|SO63491|Bikes|Road Bikes|97|Road-550-W Yellow, 44|1|1120.49
84303|SO63491|Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99
84306|SO63493|Bikes|Touring Bikes|263|Touring-1000 Blue, 46|1|2384.07
84307|SO63493|Accessories|Helmets|4|Sport-100 Helmet, Red|1|34.99
84308|SO63494|Bikes|Touring Bikes|252|Touring-1000 Yellow, 50|1|2384.07
84309|SO63494|Accessories|Helmets|5|Sport-100 Helmet, Black|1|34.99
84315|SO63496|Bikes|Touring Bikes|253|Touring-1000 Yellow, 54|1|2384.07
84321|SO63499|Clothing|Jerseys|11|Long-Sleeve Logo Jersey, M|1|49.99
84326|SO63503|Bikes|Road Bikes|271|Road-350-W Yellow, 42|1|1700.99
84327|SO63503|Accessories|Helmets|5|Sport-100 Helmet, Black|1|34.99
84328|SO63504|Bikes|Road Bikes|91|Road-250 Black, 48|1|2443.35
84329|SO63504|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84330|SO63504|Accessories|Bottles and Cages|169|Road Bottle Cage|1|8.99
84336|SO63507|Clothing|Caps|9|AWC Logo Cap|1|8.99
84345|SO63512|Accessories|Tires and Tubes|225|LL Mountain Tire|1|24.99
84346|SO63512|Accessories|Helmets|5|Sport-100 Helmet, Black|1|34.99
84370|SO63521|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84371|SO63521|Accessories|Helmets|5|Sport-100 Helmet, Black|1|34.99
84373|SO63523|Clothing|Shorts|164|Women's Mountain Shorts, S|1|69.99
84391|SO63531|Bikes|Mountain Bikes|281|Mountain-500 Silver, 40|1|564.99
84392|SO63531|Accessories|Tires and Tubes|225|LL Mountain Tire|1|24.99
84396|SO63533|Bikes|Mountain Bikes|76|Mountain-200 Silver, 38|1|2319.99
84397|SO63533|Accessories|Fenders|175|Fender Set - Mountain|1|21.98
