Detalle_ID|Factura|Categoria|Subcategoria|Producto_ID|Producto|Unidades|Precio_Unitario
83979|SO63363|Accessories|Tires and Tubes|229|ML Road Tire|1|24.99
84034|SO63389|Accessories|Tires and Tubes|229|ML Road Tire|1|24.99
83980|SO63363|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84177|SO63444|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84194|SO63453|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84226|SO63466|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84272|SO63481|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84060|SO63401|Accessories|Fenders|175|Fender Set - Mountain|1|21.98
84088|SO63410|Accessories|Fenders|175|Fender Set - Mountain|1|21.98
84128|SO63425|Accessories|Fenders|175|Fender Set - Mountain|1|21.98
84157|SO63436|Accessories|Fenders|175|Fender Set - Mountain|1|21.98
84021|SO63382|Accessories|Cleaners|174|Bike Wash - Dissolver|1|7.95
84227|SO63466|Accessories|Cleaners|174|Bike Wash - Dissolver|1|7.95
84042|SO63392|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84193|SO63453|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84158|SO63436|Accessories|Helmets|5|Sport-100 Helmet, Black|1|34.99
84162|SO63437|Accessories|Helmets|5|Sport-100 Helmet, Black|1|34.99
84130|SO63425|Clothing|Jerseys|178|Short-Sleeve Classic Jersey, S|1|53.99
84016|SO63380|Clothing|Caps|9|AWC Logo Cap|1|8.99
84064|SO63401|Clothing|Caps|9|AWC Logo Cap|1|8.99
84129|SO63425|Clothing|Caps|9|AWC Logo Cap|1|8.99
84159|SO63436|Clothing|Caps|9|AWC Logo Cap|1|8.99
84192|SO63452|Clothing|Caps|9|AWC Logo Cap|1|8.99
84242|SO63470|Clothing|Caps|9|AWC Logo Cap|1|8.99
84089|SO63410|Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99
84224|SO63465|Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99
83988|SO63368|Bikes|Mountain Bikes|280|Mountain-400-W Silver, 46|1|769.49
84063|SO63401|Clothing|Jerseys|10|Long-Sleeve Logo Jersey, S|1|49.99
83989|SO63368|Clothing|Shorts|164|Women's Mountain Shorts, S|1|69.99
84015|SO63380|Clothing|Shorts|164|Women's Mountain Shorts, S|1|69.99
83990|SO63368|Clothing|Socks|172|Racing Socks, L|1|8.99
84065|SO63402|Clothing|Jerseys|13|Long-Sleeve Logo Jersey, XL|1|49.99
84223|SO63465|Accessories|Hydration Packs|177|Hydration Pack - 70 oz.|1|54.99
84087|SO63410|Bikes|Mountain Bikes|77|Mountain-200 Silver, 42|1|2319.99
84271|SO63481|Bikes|Mountain Bikes|77|Mountain-200 Silver, 42|1|2319.99
84225|SO63466|Accessories|Tires and Tubes|227|HL Mountain Tire|1|35
84221|SO63465|Accessories|Tires and Tubes|231|Touring Tire|1|28.99
84222|SO63465|Accessories|Tires and Tubes|220|Touring Tire Tube|1|4.99
84010|SO63378|Accessories|Bottles and Cages|168|Mountain Bottle Cage|1|9.99
84061|SO63401|Accessories|Bottles and Cages|168|Mountain Bottle Cage|1|9.99
84011|SO63378|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84020|SO63382|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84062|SO63401|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84098|SO63413|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84161|SO63437|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84191|SO63452|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84008|SO63377|Clothing|Shorts|166|Women's Mountain Shorts, L|1|69.99
84181|SO63446|Clothing|Shorts|166|Women's Mountain Shorts, L|1|69.99
84240|SO63470|Clothing|Shorts|166|Women's Mountain Shorts, L|1|69.99
84009|SO63377|Clothing|Jerseys|179|Short-Sleeve Classic Jersey, M|1|53.99
84012|SO63378|Clothing|Jerseys|181|Short-Sleeve Classic Jersey, XL|1|53.99
84160|SO63436|Clothing|Jerseys|181|Short-Sleeve Classic Jersey, XL|1|53.99
84035|SO63389|Accessories|Tires and Tubes|219|Road Tire Tube|1|3.99
84041|SO63392|Accessories|Tires and Tubes|226|ML Mountain Tire|1|29.99
84241|SO63470|Clothing|Jerseys|180|Short-Sleeve Classic Jersey, L|1|53.99
84097|SO63413|Accessories|Bottles and Cages|169|Road Bottle Cage|1|8.99
84096|SO63413|Bikes|Road Bikes|294|Road-750 Black, 44|1|539.99
84127|SO63425|Bikes|Mountain Bikes|278|Mountain-400-W Silver, 40|1|769.49
84239|SO63470|Bikes|Mountain Bikes|278|Mountain-400-W Silver, 40|1|769.49
84176|SO63444|Accessories|Tires and Tubes|230|HL Road Tire|1|32.6
84286|SO63486|Bikes|Touring Bikes|276|Touring-3000 Blue, 50|1|742.35
84287|SO63486|Accessories|Tires and Tubes|231|Touring Tire|1|28.99
84294|SO63489|Bikes|Road Bikes|296|Road-750 Black, 52|1|539.99
84295|SO63489|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84296|SO63489|Accessories|Bottles and Cages|169|Road Bottle Cage|1|8.99
84297|SO63489|Clothing|Vests|161|Classic Vest, S|1|63.5
84310|SO63495|Bikes|Touring Bikes|252|Touring-1000 Yellow, 50|1|2384.07
84311|SO63495|Accessories|Bottles and Cages|169|Road Bottle Cage|1|8.99
84312|SO63495|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84313|SO63495|Accessories|Helmets|4|Sport-100 Helmet, Red|1|34.99
84314|SO63495|Clothing|Caps|9|AWC Logo Cap|1|8.99
84319|SO63498|Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99
84320|SO63498|Clothing|Gloves|156|Half-Finger Gloves, M|1|24.49
84325|SO63502|Accessories|Tires and Tubes|230|HL Road Tire|1|32.6
84347|SO63513|Accessories|Tires and Tubes|220|Touring Tire Tube|1|4.99
84348|SO63513|Accessories|Tires and Tubes|231|Touring Tire|1|28.99
84349|SO63513|Accessories|Helmets|5|Sport-100 Helmet, Black|1|34.99
84360|SO63517|Accessories|Tires and Tubes|226|ML Mountain Tire|1|29.99
84361|SO63517|Clothing|Socks|172|Racing Socks, L|1|8.99
84369|SO63520|Clothing|Shorts|165|Women's Mountain Shorts, M|1|69.99
84414|SO63538|Bikes|Mountain Bikes|76|Mountain-200 Silver, 38|1|2319.99
84415|SO63538|Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99
84421|SO63542|Bikes|Road Bikes|294|Road-750 Black, 44|1|539.99
84422|SO63542|Accessories|Tires and Tubes|228|LL Road Tire|1|21.49
84427|SO63544|Bikes|Road Bikes|273|Road-350-W Yellow, 48|1|1700.99
84428|SO63545|Bikes|Road Bikes|98|Road-550-W Yellow, 48|1|1120.49
84429|SO63545|Accessories|Bottles and Cages|169|Road Bottle Cage|1|8.99
84430|SO63545|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84444|SO63550|Bikes|Touring Bikes|265|Touring-1000 Blue, 54|1|2384.07
84445|SO63550|Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99
84477|SO63563|Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99
84483|SO63567|Accessories|Tires and Tubes|219|Road Tire Tube|1|3.99
84484|SO63567|Accessories|Tires and Tubes|230|HL Road Tire|1|32.6
84485|SO63567|Clothing|Jerseys|178|Short-Sleeve Classic Jersey, S|1|53.99
84486|SO63568|Accessories|Tires and Tubes|225|LL Mountain Tire|1|24.99
84487|SO63568|Clothing|Gloves|155|Half-Finger Gloves, S|1|24.49
84508|SO63576|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84509|SO63576|Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99
84520|SO63580|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84521|SO63580|Clothing|Gloves|156|Half-Finger Gloves, M|1|24.49
84522|SO63580|Accessories|Helmets|5|Sport-100 Helmet, Black|1|34.99
84527|SO63584|Accessories|Tires and Tubes|231|Touring Tire|1|28.99
84528|SO63584|Accessories|Tires and Tubes|220|Touring Tire Tube|1|4.99
84531|SO63587|Accessories|Tires and Tubes|220|Touring Tire Tube|1|4.99
84532|SO63588|Accessories|Tires and Tubes|227|HL Mountain Tire|1|35
84533|SO63588|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84534|SO63588|Accessories|Helmets|5|Sport-100 Helmet, Black|1|34.99
84541|SO63592|Accessories|Fenders|175|Fender Set - Mountain|1|21.98
84542|SO63592|Clothing|Jerseys|11|Long-Sleeve Logo Jersey, M|1|49.99
84543|SO63592|Clothing|Gloves|155|Half-Finger Gloves, S|1|24.49
84617|SO63619|Bikes|Touring Bikes|257|Touring-3000 Blue, 62|1|742.35
84618|SO63619|Accessories|Bottles and Cages|169|Road Bottle Cage|1|8.99
84619|SO63619|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84624|SO63621|Accessories|Tires and Tubes|225|LL Mountain Tire|1|24.99
84625|SO63621|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84626|SO63621|Accessories|Fenders|175|Fender Set - Mountain|1|21.98
84627|SO63621|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84628|SO63622|Accessories|Tires and Tubes|229|ML Road Tire|1|24.99
84629|SO63622|Accessories|Tires and Tubes|219|Road Tire Tube|1|3.99
84630|SO63622|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84653|SO63634|Accessories|Tires and Tubes|219|Road Tire Tube|1|3.99
84654|SO63634|Accessories|Tires and Tubes|229|ML Road Tire|1|24.99
84669|SO63640|Accessories|Tires and Tubes|231|Touring Tire|1|28.99
84681|SO63644|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84682|SO63644|Accessories|Tires and Tubes|226|ML Mountain Tire|1|29.99
84695|SO63651|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84703|SO63655|Accessories|Tires and Tubes|219|Road Tire Tube|1|3.99
84704|SO63655|Accessories|Tires and Tubes|230|HL Road Tire|1|32.6
84705|SO63655|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84753|SO63678|Bikes|Road Bikes|89|Road-250 Red, 58|1|2443.35
84754|SO63678|Accessories|Helmets|4|Sport-100 Helmet, Red|1|34.99
84801|SO63696|Bikes|Road Bikes|271|Road-350-W Yellow, 42|1|1700.99
84802|SO63696|Accessories|Helmets|5|Sport-100 Helmet, Black|1|34.99
84813|SO63701|Bikes|Mountain Bikes|78|Mountain-200 Silver, 46|1|2319.99
84814|SO63701|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84815|SO63701|Accessories|Tires and Tubes|227|HL Mountain Tire|1|35
84816|SO63701|Accessories|Bottles and Cages|168|Mountain Bottle Cage|1|9.99
84828|SO63706|Accessories|Tires and Tubes|219|Road Tire Tube|1|3.99
84829|SO63706|Accessories|Helmets|4|Sport-100 Helmet, Red|1|34.99
84841|SO63712|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
