Detalle_ID|Factura|Categoria|Subcategoria|Producto_ID|Producto|Unidades|Precio_Unitario
83999|SO63373|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84002|SO63374|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84045|SO63393|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84132|SO63426|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84255|SO63474|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84154|SO63435|Accessories|Fenders|175|Fender Set - Mountain|1|21.98
84196|SO63455|Accessories|Fenders|175|Fender Set - Mountain|1|21.98
84133|SO63426|Accessories|Cleaners|174|Bike Wash - Dissolver|1|7.95
84038|SO63390|Accessories|Helmets|4|Sport-100 Helmet, Red|1|34.99
84246|SO63472|Accessories|Helmets|4|Sport-100 Helmet, Red|1|34.99
84195|SO63454|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84254|SO63474|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84118|SO63421|Accessories|Helmets|5|Sport-100 Helmet, Black|1|34.99
84123|SO63423|Accessories|Helmets|5|Sport-100 Helmet, Black|1|34.99
84183|SO63447|Clothing|Caps|9|AWC Logo Cap|1|8.99
84257|SO63476|Clothing|Caps|9|AWC Logo Cap|1|8.99
84086|SO63409|Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99
84247|SO63472|Clothing|Jerseys|10|Long-Sleeve Logo Jersey, S|1|49.99
84014|SO63379|Clothing|Shorts|164|Women's Mountain Shorts, S|1|69.99
84202|SO63457|Clothing|Jerseys|12|Long-Sleeve Logo Jersey, L|1|49.99
84018|SO63381|Accessories|Hydration Packs|177|Hydration Pack - 70 oz.|1|54.99
84091|SO63411|Accessories|Hydration Packs|177|Hydration Pack - 70 oz.|1|54.99
83997|SO63372|Bikes|Mountain Bikes|77|Mountain-200 Silver, 42|1|2319.99
84090|SO63411|Bikes|Mountain Bikes|77|Mountain-200 Silver, 42|1|2319.99
84245|SO63472|Bikes|Mountain Bikes|77|Mountain-200 Silver, 42|1|2319.99
83998|SO63372|Accessories|Tires and Tubes|227|HL Mountain Tire|1|35
84253|SO63474|Accessories|Tires and Tubes|227|HL Mountain Tire|1|35
84000|SO63374|Accessories|Tires and Tubes|231|Touring Tire|1|28.99
84217|SO63463|Accessories|Tires and Tubes|231|Touring Tire|1|28.99
84001|SO63374|Accessories|Tires and Tubes|220|Touring Tire Tube|1|4.99
84216|SO63463|Accessories|Tires and Tubes|220|Touring Tire Tube|1|4.99
84155|SO63435|Accessories|Bottles and Cages|168|Mountain Bottle Cage|1|9.99
84017|SO63381|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84116|SO63421|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84122|SO63423|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84141|SO63429|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84156|SO63435|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84182|SO63447|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84211|SO63461|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84013|SO63379|Clothing|Gloves|155|Half-Finger Gloves, S|1|24.49
84019|SO63381|Clothing|Socks|171|Racing Socks, M|1|8.99
84037|SO63390|Accessories|Tires and Tubes|219|Road Tire Tube|1|3.99
84044|SO63393|Accessories|Tires and Tubes|219|Road Tire Tube|1|3.99
84201|SO63457|Accessories|Tires and Tubes|219|Road Tire Tube|1|3.99
84036|SO63390|Accessories|Tires and Tubes|228|LL Road Tire|1|21.49
84043|SO63393|Accessories|Tires and Tubes|228|LL Road Tire|1|21.49
84053|SO63397|Accessories|Tires and Tubes|228|LL Road Tire|1|21.49
84085|SO63409|Bikes|Mountain Bikes|78|Mountain-200 Silver, 46|1|2319.99
84131|SO63426|Bikes|Mountain Bikes|78|Mountain-200 Silver, 46|1|2319.99
84252|SO63474|Bikes|Mountain Bikes|78|Mountain-200 Silver, 46|1|2319.99
84075|SO63406|Bikes|Road Bikes|272|Road-350-W Yellow, 44|1|1700.99
84076|SO63406|Clothing|Jerseys|180|Short-Sleeve Classic Jersey, L|1|53.99
84256|SO63475|Bikes|Road Bikes|98|Road-550-W Yellow, 48|1|1120.49
84117|SO63421|Accessories|Bottles and Cages|169|Road Bottle Cage|1|8.99
84121|SO63423|Accessories|Bottles and Cages|169|Road Bottle Cage|1|8.99
84140|SO63429|Accessories|Bottles and Cages|169|Road Bottle Cage|1|8.99
84258|SO63476|Bikes|Road Bikes|296|Road-750 Black, 52|1|539.99
84115|SO63421|Bikes|Touring Bikes|254|Touring-1000 Yellow, 60|1|2384.07
84120|SO63423|Bikes|Touring Bikes|265|Touring-1000 Blue, 54|1|2384.07
84200|SO63457|Accessories|Tires and Tubes|230|HL Road Tire|1|32.6
84276|SO63483|Bikes|Mountain Bikes|77|Mountain-200 Silver, 42|1|2319.99
84277|SO63483|Accessories|Bottles and Cages|168|Mountain Bottle Cage|1|9.99
84278|SO63483|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84291|SO63488|Bikes|Touring Bikes|269|Touring-2000 Blue, 54|1|1214.85
84292|SO63488|Clothing|Gloves|155|Half-Finger Gloves, S|1|24.49
84293|SO63488|Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99
84298|SO63490|Bikes|Road Bikes|97|Road-550-W Yellow, 44|1|1120.49
84299|SO63490|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84300|SO63490|Clothing|Caps|9|AWC Logo Cap|1|8.99
84301|SO63490|Accessories|Bottles and Cages|169|Road Bottle Cage|1|8.99
84304|SO63492|Bikes|Road Bikes|98|Road-550-W Yellow, 48|1|1120.49
84305|SO63492|Accessories|Helmets|5|Sport-100 Helmet, Black|1|34.99
84322|SO63500|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84334|SO63506|Bikes|Mountain Bikes|80|Mountain-200 Black, 42|1|2294.99
84335|SO63506|Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99
84337|SO63508|Accessories|Bike Racks|173|Hitch Rack - 4-Bike|1|120
84338|SO63509|Accessories|Tires and Tubes|229|ML Road Tire|1|24.99
84339|SO63509|Accessories|Tires and Tubes|219|Road Tire Tube|1|3.99
84340|SO63509|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84341|SO63509|Accessories|Bike Racks|173|Hitch Rack - 4-Bike|1|120
84344|SO63511|Accessories|Tires and Tubes|228|LL Road Tire|1|21.49
84353|SO63515|Accessories|Tires and Tubes|225|LL Mountain Tire|1|24.99
84354|SO63515|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84355|SO63515|Clothing|Vests|163|Classic Vest, L|1|63.5
84362|SO63518|Accessories|Tires and Tubes|230|HL Road Tire|1|32.6
84363|SO63518|Accessories|Tires and Tubes|219|Road Tire Tube|1|3.99
84364|SO63519|Accessories|Bottles and Cages|168|Mountain Bottle Cage|1|9.99
84365|SO63519|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84366|SO63519|Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99
84367|SO63519|Clothing|Jerseys|10|Long-Sleeve Logo Jersey, S|1|49.99
84368|SO63519|Clothing|Gloves|157|Half-Finger Gloves, L|1|24.49
84372|SO63522|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84375|SO63525|Accessories|Tires and Tubes|229|ML Road Tire|1|24.99
84376|SO63525|Accessories|Tires and Tubes|219|Road Tire Tube|1|3.99
84377|SO63525|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84380|SO63527|Accessories|Tires and Tubes|219|Road Tire Tube|1|3.99
84381|SO63527|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84382|SO63528|Accessories|Tires and Tubes|220|Touring Tire Tube|1|4.99
84383|SO63528|Accessories|Helmets|4|Sport-100 Helmet, Red|1|34.99
84384|SO63528|Clothing|Jerseys|11|Long-Sleeve Logo Jersey, M|1|49.99
84385|SO63528|Clothing|Caps|9|AWC Logo Cap|1|8.99
84393|SO63532|Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2294.99
84394|SO63532|Accessories|Fenders|175|Fender Set - Mountain|1|21.98
84395|SO63532|Clothing|Gloves|157|Half-Finger Gloves, L|1|24.49
84420|SO63541|Bikes|Touring Bikes|265|Touring-1000 Blue, 54|1|2384.07
84431|SO63546|Bikes|Touring Bikes|264|Touring-1000 Blue, 50|1|2384.07
84432|SO63546|Accessories|Bottles and Cages|169|Road Bottle Cage|1|8.99
84433|SO63546|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84434|SO63546|Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99
84435|SO63547|Bikes|Touring Bikes|263|Touring-1000 Blue, 46|1|2384.07
84436|SO63547|Accessories|Tires and Tubes|231|Touring Tire|1|28.99
84437|SO63547|Accessories|Tires and Tubes|220|Touring Tire Tube|1|4.99
84438|SO63548|Bikes|Touring Bikes|250|Touring-2000 Blue, 60|1|1214.85
84439|SO63548|Accessories|Tires and Tubes|231|Touring Tire|1|28.99
84440|SO63548|Accessories|Tires and Tubes|220|Touring Tire Tube|1|4.99
84441|SO63548|Accessories|Helmets|5|Sport-100 Helmet, Black|1|34.99
84442|SO63549|Bikes|Touring Bikes|265|Touring-1000 Blue, 54|1|2384.07
84443|SO63549|Accessories|Tires and Tubes|231|Touring Tire|1|28.99
84451|SO63553|Accessories|Tires and Tubes|225|LL Mountain Tire|1|24.99
84452|SO63554|Accessories|Tires and Tubes|226|ML Mountain Tire|1|29.99
84453|SO63554|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84454|SO63554|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84456|SO63556|Bikes|Road Bikes|271|Road-350-W Yellow, 42|1|1700.99
84457|SO63556|Accessories|Tires and Tubes|229|ML Road Tire|1|24.99
84464|SO63559|Bikes|Road Bikes|273|Road-350-W Yellow, 48|1|1700.99
84465|SO63559|Accessories|Tires and Tubes|229|ML Road Tire|1|24.99
84466|SO63559|Accessories|Tires and Tubes|219|Road Tire Tube|1|3.99
84467|SO63559|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84468|SO63560|Bikes|Mountain Bikes|80|Mountain-200 Black, 42|1|2294.99
84479|SO63565|Clothing|Gloves|157|Half-Finger Gloves, L|1|24.49
84480|SO63565|Clothing|Jerseys|178|Short-Sleeve Classic Jersey, S|1|53.99
84488|SO63569|Accessories|Tires and Tubes|225|LL Mountain Tire|1|24.99
84489|SO63569|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84490|SO63569|Accessories|Helmets|4|Sport-100 Helmet, Red|1|34.99
84491|SO63569|Clothing|Socks|171|Racing Socks, M|1|8.99
84493|SO63571|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84494|SO63571|Accessories|Tires and Tubes|226|ML Mountain Tire|1|29.99
84495|SO63571|Accessories|Helmets|5|Sport-100 Helmet, Black|1|34.99
84501|SO63574|Accessories|Bottles and Cages|168|Mountain Bottle Cage|1|9.99
84502|SO63574|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84503|SO63574|Accessories|Cleaners|174|Bike Wash - Dissolver|1|7.95
84504|SO63574|Clothing|Caps|9|AWC Logo Cap|1|8.99
84523|SO63581|Accessories|Fenders|175|Fender Set - Mountain|1|21.98
84524|SO63582|Accessories|Fenders|175|Fender Set - Mountain|1|21.98
84525|SO63583|Accessories|Tires and Tubes|231|Touring Tire|1|28.99
84526|SO63583|Accessories|Tires and Tubes|220|Touring Tire Tube|1|4.99
84529|SO63585|Accessories|Tires and Tubes|220|Touring Tire Tube|1|4.99
84537|SO63590|Accessories|Fenders|175|Fender Set - Mountain|1|21.98
84538|SO63590|Accessories|Bottles and Cages|168|Mountain Bottle Cage|1|9.99
84545|SO63594|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84546|SO63594|Accessories|Bottles and Cages|169|Road Bottle Cage|1|8.99
84547|SO63594|Clothing|Gloves|157|Half-Finger Gloves, L|1|24.49
84550|SO63597|Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2294.99
84551|SO63597|Accessories|Tires and Tubes|227|HL Mountain Tire|1|35
84552|SO63597|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84569|SO63603|Bikes|Mountain Bikes|289|Mountain-500 Black, 48|1|539.99
84570|SO63603|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84571|SO63603|Accessories|Tires and Tubes|225|LL Mountain Tire|1|24.99
84578|SO63606|Bikes|Mountain Bikes|77|Mountain-200 Silver, 42|1|2319.99
84579|SO63606|Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99
84592|SO63611|Bikes|Road Bikes|98|Road-550-W Yellow, 48|1|1120.49
84593|SO63611|Accessories|Tires and Tubes|219|Road Tire Tube|1|3.99
84594|SO63611|Accessories|Tires and Tubes|229|ML Road Tire|1|24.99
84595|SO63611|Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29
84596|SO63612|Bikes|Road Bikes|95|Road-550-W Yellow, 40|1|1120.49
84597|SO63612|Accessories|Helmets|4|Sport-100 Helmet, Red|1|34.99
84598|SO63612|Clothing|Jerseys|178|Short-Sleeve Classic Jersey, S|1|53.99
84605|SO63614|Bikes|Road Bikes|271|Road-350-W Yellow, 42|1|1700.99
84606|SO63615|Bikes|Road Bikes|273|Road-350-W Yellow, 48|1|1700.99
84607|SO63615|Accessories|Bottles and Cages|169|Road Bottle Cage|1|8.99
84613|SO63618|Bikes|Road Bikes|274|Road-750 Black, 58|1|539.99
84614|SO63618|Accessories|Bottles and Cages|169|Road Bottle Cage|1|8.99
84615|SO63618|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99
84616|SO63618|Clothing|Jerseys|181|Short-Sleeve Classic Jersey, XL|1|53.99
84643|SO63628|Clothing|Caps|9|AWC Logo Cap|1|8.99
84644|SO63629|Bikes|Mountain Bikes|280|Mountain-400-W Silver, 46|1|769.49
84645|SO63629|Clothing|Jerseys|12|Long-Sleeve Logo Jersey, L|1|49.99
84646|SO63630|Bikes|Mountain Bikes|290|Mountain-500 Black, 52|1|539.99
84647|SO63630|Accessories|Fenders|175|Fender Set - Mountain|1|21.98
84648|SO63630|Clothing|Vests|161|Classic Vest, S|1|63.5
84651|SO63632|Clothing|Jerseys|179|Short-Sleeve Classic Jersey, M|1|53.99
84656|SO63636|Accessories|Tires and Tubes|219|Road Tire Tube|1|3.99
84657|SO63636|Accessories|Tires and Tubes|228|LL Road Tire|1|21.49
84658|SO63637|Accessories|Tires and Tubes|231|Touring Tire|1|28.99
84659|SO63637|Accessories|Tires and Tubes|220|Touring Tire Tube|1|4.99
84660|SO63637|Accessories|Hydration Packs|177|Hydration Pack - 70 oz.|1|54.99
84661|SO63637|Clothing|Vests|161|Classic Vest, S|1|63.5
84662|SO63638|Accessories|Tires and Tubes|225|LL Mountain Tire|1|24.99
84663|SO63638|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84664|SO63638|Accessories|Helmets|4|Sport-100 Helmet, Red|1|34.99
84670|SO63641|Accessories|Tires and Tubes|219|Road Tire Tube|1|3.99
84671|SO63641|Accessories|Tires and Tubes|228|LL Road Tire|1|21.49
84672|SO63641|Clothing|Jerseys|11|Long-Sleeve Logo Jersey, M|1|49.99
84677|SO63643|Accessories|Tires and Tubes|231|Touring Tire|1|28.99
84678|SO63643|Accessories|Tires and Tubes|220|Touring Tire Tube|1|4.99
84679|SO63643|Accessories|Hydration Packs|177|Hydration Pack - 70 oz.|1|54.99
84680|SO63643|Accessories|Cleaners|174|Bike Wash - Dissolver|1|7.95
84685|SO63646|Clothing|Shorts|166|Women's Mountain Shorts, L|1|69.99
84686|SO63646|Clothing|Jerseys|178|Short-Sleeve Classic Jersey, S|1|53.99
84692|SO63650|Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99
84693|SO63650|Accessories|Helmets|4|Sport-100 Helmet, Red|1|34.99
84694|SO63650|Clothing|Socks|171|Racing Socks, M|1|8.99
84696|SO63652|Accessories|Fenders|175|Fender Set - Mountain|1|21.98
84697|SO63652|Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99
84713|SO63659|Accessories|Tires and Tubes|228|LL Road Tire|1|21.49
84714|SO63659|Clothing|Jerseys|178|Short-Sleeve Classic Jersey, S|1|53.99
84715|SO63660|Accessories|Tires and Tubes|231|Touring Tire|1|28.99
84716|SO63660|Accessories|Tires and Tubes|220|Touring Tire Tube|1|4.99
